17828584,<p>I was wondering what happens when you try to catch an StackOverflowError and came up with the following method:</p>&#xA;&#xA;<pre><code>class RandomNumberGenerator {&#xA;&#xA;    static int cnt = 0;&#xA;&#xA;    public static void main(String[] args) {&#xA;        try {&#xA;            main(args);&#xA;        } catch (StackOverflowError ignore) {&#xA;            System.out.println(cnt++);&#xA;        }&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Now my question:</p>&#xA;&#xA;<p>Why does this method print '4'?</p>&#xA;&#xA;<p>I thought maybe it was because <code>System.out.println()</code> needs 3 segments on the call stack
17441871,<p>Is it good/bad/acceptable practice to pass the current object in a method call.  As in:</p>&#xA;&#xA;<pre><code>public class Bar{&#xA;    public Bar(){}&#xA;&#xA;    public void foo(Baz baz){&#xA;        //  modify some values of baz&#xA;    }&#xA;}&#xA;&#xA;public class Baz{&#xA;    //constructor ommited&#xA;&#xA;    public void method(){&#xA;        Bar bar = new Bar();&#xA;        bar.foo(this);&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Specifically
7101992,<p>I'm just wondering why we usually use logical OR <code>||</code> between two booleans not bitwise OR <code>|</code>
219585,<p>Is there a way to include all the jar files within a directory in the classpath?</p>&#xA;&#xA;<p>I'm trying <code>java -classpath lib/*.jar:. my.package.Program</code> and it is not able to find class files that are certainly in those jars.  Do I need to add each jar file to the classpath separately? </p>&#xA;
2795065,"<p>I found the following code example for Java on <a href=""http://rosettacode.org/wiki/Primality_by_trial_division#By_Regular_Expression"">RosettaCode</a>:</p>&#xA;&#xA;<pre><code>public static boolean prime(int n) {&#xA;  return !new String(new char[n]).matches("".?|(..+?)\\\\1+"");&#xA;}&#xA;</code></pre>&#xA;&#xA;<ul>&#xA;<li>I don't know Java in particular but understand all aspects of this snippet except for the regex itself</li>&#xA;<li>I have basic to basic-advanced knowledge of Regex as you find it in the built-in PHP functions</li>&#xA;</ul>&#xA;&#xA;<p>How does <code>.?|(..+?)\\\\1+</code> match prime numbers?</p>&#xA;"
13102045,"<p>It is my first post here. I started learning Java and here is my first problem I cannot sort out on my own.</p>&#xA;&#xA;<p>I am using <code>Scanner</code> methods <code>nextInt()</code> and <code>nextLine()</code> for reading input. Basically it looks like that</p>&#xA;&#xA;<pre><code>System.out.println(""enter numerical value"");    &#xA;int option;&#xA;option = input.nextInt ();//read numerical value from input&#xA;System.out.println(""enter 1st string""); &#xA;String string1 = input.nextLine ();//read first string which is skipped&#xA;System.out.println(""enter 2nd string"");&#xA;String string2 = input.nextLine ();//read 2nd string which appeared straight after reading numerical value&#xA;</code></pre>&#xA;&#xA;<p>and the problem is that after entering numerical value first <code>input.nextLine()</code> is skipped and the second <code>input.nextLine()</code> is executed"
370072,<p>As the title suggests what is a good debugger for Java? I've come from a C/C++/Ada background so I've become very accustomed to gdb :). On the java side I've only used <code>jdb</code> and <code>jswat</code> but I would like to ask what java debugger do you Recommend and why.</p>&#xA;&#xA;<p>Some background: I'll be using the debugger to debug a Swing Applications running on ( a variant of redhat) linux. The development will be done on windows or linux boxes running under eclipse 3.0. However
8483353,<p>Is there an interface from the JDK that looks something like this:</p>&#xA;&#xA;<pre><code>public interface Callback&lt;T&gt; {&#xA;    public void process(T t);&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>The requirement is to implement a callback that <em>runs</em> code
24583475,"<p>I know that the following:</p>&#xA;&#xA;<pre><code>String s = null;&#xA;System.out.println(""s: "" + s);&#xA;</code></pre>&#xA;&#xA;<p>will output: <code>s: null</code>.</p>&#xA;&#xA;<p><em>How do I make it output just <code>s: ?</code>?</em> </p>&#xA;&#xA;<p>In my case this is important as I have to concatenate <code>String</code> from <strong>4</strong> values"
54909,<p>I have an <code>ArrayList&lt;String&gt;</code> that I'd like to return a copy of.  <code>ArrayList</code> has a clone method has the following signature:</p>&#xA;&#xA;<pre><code>public Object clone()&#xA;</code></pre>&#xA;&#xA;<p>After I call this method
8122625,<p>I get the following warning in my logcat. </p>&#xA;&#xA;<pre><code>getExtractedText on inactive InputConnection&#xA;</code></pre>&#xA;&#xA;<p>I'm unable to find the reason behind it. Please help</p>&#xA;
15318617,<p>Why doesn't Java support the <code>&lt;&lt;&lt;</code> (unsigned left shift) operator
13137797,<p>I'm using  Eclipse 4.2 with compatibility layer to reuse existing part for my RCP application.<br>&#xA;I want to reuse <code>New</code> from <strong>File menu</strong> and <code>Run</code>  <strong>menu</strong> in my RCP application
22174022,<p>When instantiating ArrayLists I am used to seeing code like this</p>&#xA;&#xA;<pre><code>ArrayList&lt;Type&gt; arr = new ArrayList&lt;Type&gt;();&#xA;</code></pre>&#xA;&#xA;<p>or</p>&#xA;&#xA;<pre><code>ArrayList&lt;Type&gt; arr = new ArrayList&lt;&gt;();&#xA;</code></pre>&#xA;&#xA;<p>however today I have come across an instantiation of ArrayList that looks like this:</p>&#xA;&#xA;<pre><code>ArrayList&lt;Type&gt; = new &lt;Type&gt;ArrayList();&#xA;</code></pre>&#xA;&#xA;<p>what is going on
24489808,<p>I found that when I show a <code>JDialog</code> or a new <code>JFrame</code> in my Java swing application will toggle my Chinese Input Method from half-byte mode to full-byte mode in Windows 7.</p>&#xA;&#xA;<p>Why does calling the dialog or frame <code>setVisible(true)</code> method toggle my IME setting?</p>&#xA;&#xA;<p>Does anyone knows what's wrong with the code
8817307,"<p>Today I decide to make a resolution which consist of testing my <strong>Java</strong> application using the <strong>keyboard</strong> solely.</p>&#xA;&#xA;<p>But I am faced with some obstacles:</p>&#xA;&#xA;<ol>&#xA;<li>How do you select/deselect a checkbox using the keyboard?</li>&#xA;<li>How do you collapse/expand items in a <code>JTree</code>?</li>&#xA;</ol>&#xA;&#xA;<p>All help will be much appreciated!</p>&#xA;&#xA;<p><strong>UPDATE:</strong></p>&#xA;&#xA;<p>Here is an example of a checkbox I want to select:<br>&#xA;<img src=""http://i.stack.imgur.com/5G5it.png"" alt=""enter image description here""></p>&#xA;&#xA;<p><strong>PS:</strong> space didn't work</p>&#xA;"
8521294,<p>I list some filenames with their icons (like the ones in the Windows Explorer) in a <code>JTable</code>. I know the two ways to get the icon if I have a <code>File</code> object from the local file system: </p>&#xA;&#xA;<pre><code>javax.swing.filechooser.FileSystemView.getFileSystemView().getSystemIcon( file )&#xA;</code></pre>&#xA;&#xA;<p>for a 16x16 icon or for a bigger one: </p>&#xA;&#xA;<pre><code>sun.awt.shell.ShellFolder.getShellFolder( file ).getIcon( true ) )&#xA;</code></pre>&#xA;&#xA;<p>Since my files are stored in a database
2506474,<p>Let's say I have two <code>char</code> variables
24095875,<p>Say I have a List of object which were defined using closures.  Is there a way to inspect them so they can be compared.</p>&#xA;&#xA;<p>The code I am most interested in is</p>&#xA;&#xA;<pre><code>    List&lt;Strategy&gt; strategies = getStrategies();&#xA;    Strategy a = (Strategy) this::a;&#xA;    if (strategies.contains(a)) { // ...&#xA;</code></pre>&#xA;&#xA;<p>The full code is</p>&#xA;&#xA;<pre><code>import java.util.Arrays;&#xA;import java.util.List;&#xA;&#xA;public class ClosureEqualsMain {&#xA;    interface Strategy {&#xA;        void invoke(/*args*/);&#xA;        default boolean equals(Object o) { // doesn't compile&#xA;            return Closures.equals(this
18810505,"<p>Recently I noticed declaring an array containing 64 elements is a lot faster (>1000 fold) than declaring the same type of array with 65 elements.</p>&#xA;&#xA;<p>Here is the code I used to test this:</p>&#xA;&#xA;<pre><code>public class Tests{&#xA;    public static void main(String args[]){&#xA;        double start = System.nanoTime();&#xA;        int job = 100000000;//100 million&#xA;        for(int i = 0; i &lt; job; i++){&#xA;            double[] test = new double[64];&#xA;        }&#xA;        double end = System.nanoTime();&#xA;        System.out.println(""Total runtime = "" + (end-start)/1000000 + "" ms"");&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>This runs in approximately 6 ms"
9234297,<h2>Problem</h2>&#xA;&#xA;<p>Applying filtering on a <code>JTree</code> to avoid certain nodes/leaves to show up in the rendered version of the <code>JTree</code>. Ideally I am looking for a solution which allows to have a dynamic filter
15419860,<p>Is it safe to use <code>Thread</code>'s methods like <code>setName</code> / <code>getName</code> and some others from different threads? API does not say anything
